Time [s],Channel 0,Channel 1
0.000000000,1,1
3.504840625,1,0
3.504841625,0,0
3.504843708,1,0
3.504844750,0,0
3.504846833,1,0
3.504847792,0,0
3.504848875,0,1
3.504849917,1,1
3.504850917,0,1
3.504852000,0,0
3.504853000,1,0
3.504854042,0,0
3.504856125,1,0
3.504857125,0,0
3.504859250,1,0
3.504860208,0,0
3.504861292,0,1
3.504862333,1,1
3.504863333,0,1
3.504864417,0,0
3.504865417,1,0
3.504866417,0,0
3.504868542,1,0
3.504869542,0,0
3.504871625,1,0
3.504872625,0,0
3.504874750,1,0
3.504875750,0,0
3.504877833,1,0
3.504878833,0,0
3.504880958,1,0
3.504881958,0,0
3.504884042,1,0
3.504885042,0,0
3.504887167,1,0
3.504888167,0,0
3.504890250,1,0
3.504891250,0,0
3.504893375,1,0
3.504894375,0,0
3.504896458,1,0
3.504897458,0,0
3.504899583,1,0
3.504900583,0,0
3.504902667,1,0
3.504903667,0,0
3.504905792,1,0
3.504906792,0,0
3.504908875,1,0
3.504909875,0,0
3.504912000,1,0
3.504913000,0,0
3.504915083,1,0
3.504916083,0,0
3.504918167,1,0
3.504919167,0,0
3.504921292,1,0
3.504922292,0,0
3.504924375,1,0
3.504925417,0,0
3.504927500,1,0
3.504928500,0,0
3.504930583,1,0
3.504931583,0,0
3.504933708,1,0
3.504934708,0,0
3.504936792,1,0
3.504937792,0,0
3.504939917,1,0
3.504940917,0,0
3.504943000,1,0
3.504944000,0,0
3.504946125,1,0
3.504947125,0,1
3.504949208,1,1
3.504950208,0,1
3.504952333,1,1
3.504953333,0,0
3.504955417,1,0
3.504956417,0,0
3.504958542,1,0
3.504959542,0,1
3.504961625,1,1
3.504962625,0,1
3.504962667,0,0
3.504964750,1,0
3.504965750,0,0
3.504967875,1,0
3.504968875,0,0
3.504970042,1,0
3.504971083,0,0
3.504973250,1,0
3.504974292,0,0
3.504975333,1,0
3.504976417,0,1
3.504977458,1,1
3.504978542,0,0
3.504979583,1,0
3.504980625,0,0
3.504981667,1,0
3.504982750,0,0
3.504983125,0,1
3.504983792,1,1
3.504984875,0,0
3.504985875,1,0
3.504986958,0,0
3.504987292,0,1
3.504988167,1,1
3.504989208,0,1
3.504990250,1,1
3.504991333,0,1
3.504992333,1,1
3.504993417,0,1
3.504994458,1,1
3.504995542,0,1
3.504996583,1,1
3.504997667,0,1
3.504998667,1,1
3.504999750,0,1
3.505000792,1,1
3.505001875,0,1
3.505002875,1,1
3.505004000,0,1
3.505005000,1,1
3.505006083,0,1
3.505007125,1,1
3.505008208,0,1
3.505009208,1,1
3.505010333,0,1
3.505011333,1,1
3.505012417,0,1
3.505013458,1,1
3.505014542,0,1
3.505015542,1,1
3.505016667,0,1
3.505017667,1,1
3.505018750,0,1
3.505019792,1,1
3.505020875,0,1
3.505021875,1,1
3.505023000,0,1
3.505024000,1,1
3.505025083,0,1
3.505026125,1,1
3.505027208,0,1
3.505028208,1,1
3.505029292,0,1
3.505030333,1,1
3.505031417,0,1
3.505032458,1,1
3.505033542,0,1
3.505034542,1,1
3.505035625,0,1
3.505036667,1,1
3.505037750,0,1
3.505038750,1,1
3.505039875,0,1
3.505040875,1,1
3.505041958,0,1
3.505043000,1,1
3.505044083,0,1
3.505045083,1,1
3.505046208,0,1
3.505047208,1,1
3.505048292,0,1
3.505049333,1,1
3.505050417,0,1
3.505051417,1,1
